"text","text_en","cmp_code","eu_code"
"we must work more cooperatively with the States to improve education and health services at the local level;",NA,"506",NA
"we must reduce cost-of-living pressures on families;",NA,"603",NA
"we must secure our borders–where the boats are stopped; and",NA,"406",NA
"we must rebuild our weakened defence force and we must make the nation stronger, not weaker.",NA,"104",NA
"This forthcoming election is the most important in decades",NA,NA,NA
"At this election the Australian people will face one of the most important elections in decades as they decide the future direction of the country.",NA,"000",NA
"Australians will decide which leader and party will put the national interest first;",NA,"000",NA
"provide strong, stable and accountable government;",NA,"305",NA
"deliver a strong, prosperous economy",NA,"410",NA
"and a safe, secure Australia for the uncertain times ahead.",NA,"601",NA
"Our plan addresses the main challenges facing Australia",NA,NA,NA
"This document, ‘Our Plan: Real Solutions for all Australians’ outlines the clear direction, values and policy priorities that will guide the next Coalition Government.",NA,"000",NA
"Our plan honestly confronts Australia’s real challenges with real solutions and outlines action to deliver a strong, prosperous economy and a safe, secure future for all of us",NA,"000",NA
"Building a stronger economy.",NA,NA,NA
"Our main goal is to secure Australia’s economic future",NA,"410",NA
"and to protect Australians from any future external economic shocks to avoid leaving our children worse off.",NA,"406",NA
"We have a detailed plan to build a world-class 5-Pillar economy that will deliver more jobs and generate the real wealth necessary to finance better government services for Australian families.",NA,"410",NA
"Charting a longer term course for Australia",NA,NA,NA
"The Coalition’s ambitious plan charts a longer term course for modernizing and transforming Australia’s economy to ensure it is more suited to the challenges of the 21st Century–by making Australia more competitive in the global economy,",NA,"410",NA
"by lowering taxes,",NA,"402",NA
"by boosting productivity growth,",NA,"410",NA
"by getting small businesses growing again and creating more jobs,",NA,"402",NA
"by modernizing our industries and workforce",NA,"411",NA
"and developing a more diverse world-class economy–which under a Coalition Government will deliver one million new jobs over the next five years and two million new jobs within the next decade.",NA,"410",NA
"Our aim is to deliver a better future for all Australians",NA,NA,NA
"Our aim is to build a stronger Australia –a truly 21st Century Australia –so that all Australians can get ahead in the global economy, live in a better country and have a better future.",NA,"410",NA
"Our aim is to deliver a strong and prosperous economy;",NA,"410",NA
"a safe and secure nation with secure borders and a strong defence force;",NA,"104",NA
"a decent and respectful society that gives a ‘fair go’ to all and encourages people to thrive and get ahead;",NA,"503",NA
"a country with a network of strong communities with more modern infrastructure;",NA,"411",NA
"a land with a cleaner environment and a more sustainable future;",NA,"501",NA
"a country with a culture of Hope, Reward and Opportunity;",NA,"601",NA
"and a country that is a more prosperous, safe and secure place to live.",NA,"601",NA
"Australians deserve to live in the best country in the world",NA,NA,NA
"Last but not least, the Coalition believes there are no limits to what this great country can achieve for its people.",NA,"601",NA
"We need to remove the shackles and burdens holding Australia back and to unleash Australia’s real potential.",NA,"601",NA
"It’s time to build a truly strong, productive and prosperous 21st Century Australia",NA,"601",NA
"After all, Australians deserve to live in the best country in the world with the best prospects for the future.",NA,"601",NA
"Australians deserve Hope, Reward and Opportunity.",NA,"601",NA
"Australians deserve a better future.",NA,"601",NA
"Australians deserve better government.",NA,"601",NA
"3 A time for a decision about the future",NA,NA,NA
"The key challenge facing Australia",NA,NA,NA
"To safeguard Australia’s economic future the key challenge facing Australia is to compete successfully in a more fiercely competitive world.",NA,"410",NA
"Undoubtedly, Australia’s underlying challenge is to strengthen its economy and make real improvements in productivity, competitiveness and growth to ensure Australia’s future prosperity.",NA,"410",NA
"Many businesses don’t need to be told by government that Asia offers opportunities because of a rapidly rising middle class.",NA,"410",NA
"But they do want government to help equip the economy for the competitive challenges ahead so that we can actually realise these opportunities.",NA,"410",NA
"Asia’s growth offers Australia tremendous potential to significantly increase our exports by utilising our competitive advantages as a nation – as long as we position ourselves so that we are ready to seize these opportunities and unleash Australia’s real economic potential.",NA,"410",NA
"For example, estimates suggest that Asian demand could almost double our net energy exports over the next 20 years.",NA,"410",NA
"And that comes on top of projections that the volume of our minerals exports could increase by 40 per cent to 60 per cent in the period to 2025.",NA,"410",NA
"In the education sector, we will expand our exports, particularly in the Asian region using a number of channels including online.",NA,"410",NA
"As ANZ chief executive Mike Smith1 has warned, Australia risks losing out on a $3 trillion economic opportunity in the Asian region if it does not urgently address productivity concerns.",NA,"410",NA
"Mr Smith said tax and labour reforms were critical and warned that incorrect policy settings risked Australia not being able to finance the $3 trillion that ANZ estimated Australia needs over the next 20 years to seize the resource and agricultural opportunities presented by the rising Asian middle class.",NA,"410",NA
"Tackling the real challenges here in Australia",NA,NA,NA
"The real challenges facing Australia range from the need for lower, simpler and fairer taxes, to improving productivity, to promote industries to take advantage of the opportunities ahead.",NA,"402",NA
"In summary:",NA,NA,NA
"we need to improve productivity, competitiveness and growth;",NA,"410",NA
"we need to reduce Australia’s sovereign risk profile and restore Australia’s competitive reputation overseas;",NA,"410",NA
"we need to address Australia’s growing workplace militancy, flexibility and productivity challenges;",NA,"702",NA
"we need to scrap unnecessary taxes like the carbon tax that reduce our comparative advantages;",NA,"402",NA
"we need to scrap a mining tax that discourages investment by imposing very high effective tax rates on risky projects, while collecting little revenue – particularly after reimbursing the States for their mining royalties;",NA,"402",NA
"we need to streamline environmental approvals – and stop the delays, complexities and uncertainties imposed by the Commonwealth and States;",NA,"402",NA
"we need to reduce the cost base of our mining projects so that Australian projects are favoured over other countries’ and our projects move further up the ladder on resource companies’ development plans;",NA,"406",NA
"we need to increase the flexibility of our economy to respond when economic shocks hit;",NA,"401",NA
"we need to address the infrastructure blockages holding us back; and",NA,"411",NA
"we need to support our small business sector.",NA,"402",NA
"The economic vitality of our country is being sapped because the small businesses of our country are being suffocated.",NA,"402",NA
"There are 11,000 fewer small businesses actually employing people now than there were in 2007.",NA,"402",NA
"Small business start-ups have dropped by a staggering 95 per cent.",NA,"402",NA
"The number going bankrupt has increased by 48 per cent.",NA,"402",NA
"Small business insolvencies instigated by the Australian Taxation Office are up 46 per cent on previous years.",NA,"402",NA
"Australia needs to restore responsible economic management",NA,NA,NA
"It is imperative that Australia restores responsible economic management, adopts a strong economic plan and changes the direction of its structural Budget as quickly as possible to get back on the path to building real prosperity, not false prosperity.",NA,"414",NA
"Unfortunately Labor has no economic plan – instead it thinks the answer to every problem is more spending and more taxes.",NA,"414",NA
"Australia has been living beyond its means, recklessly spending more than it earns",NA,"414",NA
"As a result we are now borrowing more and mortgaging our future, forcing our children to pay for the government’s debt of today.",NA,"414",NA
"Australia’s current structural Budget position is poor",NA,NA,NA
"Australia is now more vulnerable to economic shocks due to excessive deficits and debt spending.",NA,"414",NA
"There is no credible plan to repay debt – making Australia more vulnerable to another financial crisis.",NA,"414",NA
"Yet Labor is now creating expectations by promising new spending programmes that are not funded, making the structural Budget position even worse.",NA,"414",NA
"The Australian Financial Review has identified that under Labor, Australia now has a $120 billion Budget black hole of unfunded policy promises.",NA,"414",NA
"On the matter of the ongoing structural integrity of the Budget – Chris Richardson, one of Australia’s leading economic forecasters said: “The Budget remains in trouble”2",NA,"414",NA
"There have now been four years of back-to-back Budget deficits at record levels with another deficit in prospect.",NA,"414",NA
"Kevin Rudd and Julia Gillard have burned through almost $200 billion worth of excessive Commonwealth government spending.",NA,"414",NA
"Last year’s deficit was initially expected to be $12.3 billion but it turned out to be $43.4 billion – a $30+ billion blow-out!",NA,"414",NA
"Labor has not delivered on its financial promises and has never returned a Budget surplus, only excuses.",NA,"414",NA
"Labor is now raising taxes and using accounting tricks to manipulate Budget outcomes.",NA,"414",NA
"And it has still not tackled the problem of the structural position of the Budget.",NA,"414",NA
"Australia needs to develop a more productive economy",NA,NA,NA
"Spending policies are now overriding productivity enhancing policies.",NA,"410",NA
"Unfortunately, like Europe, under Labor Australia remains fixated on the spending side of the economy rather than on the productive side of the economy–the side that creates greater wealth and prosperity for the nation.",NA,"410",NA
"Since the global financial crisis, Labor has encouraged policies that are arguably the opposite of improving long-run sustainable growth in national output –the key determinants of which are saving and productivity improvements.",NA,"410",NA
"Productivity growth has fallen significantly",NA,NA,NA
"The Economist Intelligence Unit now ranks Australia as the second worst of 51 countries for productivity growth ahead only of Botswana.",NA,"410",NA
"The next wave of investment is now at risk",NA,NA,NA
"About $75 billion worth of resource projects have been cancelled in the past 12 months and a further $100 billion are at serious risk.",NA,"402",NA
"For example: BHP has deferred its massive Olympic Dam expansion in South Australia and in Western Australia, Fortescue and BHP have scaled back expansion plans and Japan’s Mitsubishi has shelved the$6 billion Oakajee development.",NA,"402",NA
"With commodity prices still high despite recent falls, this raises serious questions:",NA,NA,NA
"about the imposition of new taxes like the mining tax and carbon tax –particularly when we are the only country with a resource based economy to impose an economy-wide carbon tax;",NA,"402",NA
"about Australia’s sovereign risk profile which has dramatically increased with the introduction of these new taxes;",NA,"402",NA
"about Australia’s poor recent levels of productivity performance and the need to make Australia more competitive and productive;",NA,"410",NA
"about growing union militancy in work places; and",NA,"702",NA
"about Australia’s high project development costs now affecting investment decisions",NA,"402",NA
"GDP is growing too slowly",NA,NA,NA
"Australia’s GDP per head has grown by only just over 0.5 per cent per year under Labor compared to well over 2 per cent a year under the Coalition.",NA,"410",NA
"The economy is now slowing with the Reserve Bank cutting its economic growth forecasts and warning the resources boom is losing steam faster than expected.",NA,"410",NA
"As UBS economist Scott Haslem said: “While the RBA sounds less certain on domestic growth…they now appear even more worried about domestic inflation and productivity.”",NA,"410",NA
"Monetary policy is now being used to try and catch a falling economy.",NA,"410",NA
"“We Australians are a great people with a great destiny.”",NA,"601",NA
"Over-regulation is strangling our businesses and driving up costs",NA,NA,NA
"An Australian Chamber of Commerce and industry survey showed that 73 per cent of businesses report greater increases in regulation over the past two years and 60 per cent of businesses spend over $5,000 a year just meeting regulatory requirements.",NA,"303",NA
"Inflexible work practices are holding our industries back",NA,NA,NA
"The Australian Industry Group warns there are too many unnecessary barriers on productivity and flexibility that will lead to more business closures and jobs going overseas.",NA,"702",NA
"They say it’s not about slashing wages, working conditions or living standards, but they fear the nation is going “the wrong way down a one-way street.”",NA,"702",NA
"Australia’s pace of jobs growth has been 30 percent lower under Labor",NA,NA,NA
"Under Labor, the pace of jobs growth has averaged 1.5 per cent a year compared with 2.2 per cent under the Coalition –a 30 per cent slower pace of jobs growth.",NA,"410",NA
"And less than half of the new jobs under Labor have been private sector jobs compared with over 70 per cent under the Howard Government.",NA,"410",NA
"Jobs growth over the past two years has slowed to its weakest pace in 15 years.",NA,"410",NA
"And Australia’s work force participation rate has dropped.",NA,"410",NA
"Without a strong, g rowing economy, other challenges can’t be properly addressed",NA,NA,NA
"Without a strong, prosperous economy the nation won’t have the financial means to address all the other challenges facing Australia,",NA,"410",NA
"like the need for more modern infrastructure,",NA,"411",NA
"better services like health and education",NA,"504",NA
"and the National Disability Insurance Scheme (NDIS)",NA,"504",NA
"as well as the need to restore defence funding.",NA,"104",NA
"That’s why a strong, prosperous economy is central to everything.",NA,"410",NA
"Australians are being let down by a bad government",NA,NA,NA
"Australians know that this is a great country let down by a bad government interested only in its own survival–with no economic plan for Australia other than to run deficits and spend more money.",NA,"305",NA
"4 Delivering a strong, prosperous economy",NA,NA,NA
"The importance of a responsible economic strategy",NA,NA,NA
"We have an economic plan for Australia – a plan to deliver a strong, prosperous economy based on the fundamental truth that the best long-term economic strategy for Australia is to get our finances in order,",NA,"414",NA
"build a strong growth-powered economy with less debt",NA,"410",NA
"and make Australia more productive and competitive in the global economy.",NA,"410",NA
"Our plan will deliver more jobs, higher real wages and better living standards for all Australians",NA,"414",NA
"The elements of our economic plan",NA,NA,NA
"We will live within our means, get the Budget back under control and pay back debt",NA,"414",NA
"We will lower taxes to stimulate stronger economic growth and unleash our real economic potential.",NA,"402",NA
"We will boost productivity to secure greater prosperity",NA,"410",NA
"and build more 21st Century infrastructure.",NA,"411",NA
"We will deepen our engagement with Asia and deliver more growth from Asia.",NA,"101",NA
"We will help small business create stronger jobs growth.",NA,"402",NA
"We will build a more diverse, world-class 5-Pillar economy that unleashes Australia’s potential.",NA,"410",NA
"Building a strong, productive and prosperous economy with less debt benefits everyone",NA,NA,NA
"We believe a strong, productive and prosperous economy,",NA,"410",NA
"ideally free from the burdens of debt, is the basis for realising all our other goals for Australia.",NA,"414",NA
"In fact, it provides the financial means to enable us to help those in need, particularly the disadvantaged.",NA,"504",NA
"A prosperous economy with less debt is the essential ingredient that allows us all to secure the aspirations we have for ourselves, our families and our country.",NA,"414",NA
"“The best way to restore politicians’ standing is to have governments which meddle less and lead more.”",NA,"401",NA
"5 Living within our means and getting the Budget back under control",NA,NA,NA
"POLICY PRIORITY",NA,NA,NA
"We will get the Budget back under control, cut waste and start reducing debt – to take unnecessary pressure off interest rates; and to protect the Australian economy from another financial crisis.",NA,"414",NA
"Protecting Australia from a debt crisis – paying down debt",NA,NA,NA
"We have an economic plan for Australia – a plan to live within our means and get the Budget back under control.",NA,"414",NA
"With Australia’s net debt over $160 billion, Australia is more vulnerable to an economic shock and has less protection in the event of a financial crisis.",NA,"414",NA
"This is why we are so determined to get the Budget back under control and get back on the path to real prosperity.",NA,"414",NA
"Sound budget management means a sustainable surplus over the medium-term because governments have to live within their means if we wish to leave the next generation better off, not worse off.",NA,"414",NA
"We will manage the economy and Budget responsibly to ensure our children are not burdened by unfairly high taxes and left with an unfair debt legacy.",NA,"414",NA
"The Coalition will protect the Australian economy from economic shocks and create the conditions which keep interest rates as low as possible and reduce debt interest payments, which are now costing the Australian public over $7 billion a year.",NA,"414",NA
"By repaying debt, this annual $7 billion of debt interest payments could instead be better spent on better services such as health and education and for tax relief.",NA,"414",NA
"Getting the Budget back under control",NA,NA,NA
"We will:",NA,NA,NA
"get the Budget back under control, start delivering real Budget surpluses, pay down debt and take pressure off the high Australian dollar;",NA,"414",NA
"immediately establish a Commission of Audit to identify savings and efficiencies in all areas of government,",NA,"303",NA
"so we can reduce government debt and start delivering better value for money and sustainable Budget surpluses into the future;",NA,"414",NA
"end government waste and ensure better value-for-money in government programmes so that Australia no longer needs to keep borrowing money to prop up its Budget; and",NA,"303",NA
"start reducing government debt so the government won’t need to spend $7 billion a year on wasted interest payments.",NA,"414",NA
"Living within our means on a sustainable basis",NA,NA,NA
"We will restore prudent financial management and live within our means on a sustainable, longer-term basis to restore structural integrity to the Budget.",NA,"414",NA
"We will:",NA,NA,NA
"act in a responsible way to protect Australian families and deliver better frontline services",NA,"504",NA
"whilst repairing Australia’s Budget and putting it on a sustainable, longer-term footing;",NA,"414",NA
"get spending down by fixing the overlap between different levels of government and by reducing the size of the bloated Commonwealth payroll, with a focus on natural attrition, to bring it closer to its size at the close of the Howard Government; and",NA,"303",NA
"deliver a more effective and responsive public service focused on your needs.",NA,"414",NA
"6 Lowering taxes to unleash our real economic potential",NA,NA,NA
"Delivering lower taxes and growing a stronger economy",NA,NA,NA
"We have an economic plan for Australia – a plan to lower taxes to stimulate stronger economic growth and make Australia more competitive in the global economy.",NA,"402",NA
"We will abolish unnecessary taxes to unleash Australia’s real economic potential and to encourage businesses to invest and grow and create more jobs.",NA,"402",NA
"Personal income tax cut – without the carbon tax",NA,NA,NA
"We will fund personal income tax cuts for individuals and families – without a carbon tax.",NA,"402",NA
"We pledge to the families of Australia that we will never make your lives harder by imposing needless new taxes and we will free Australians from the burdens of the carbon tax.",NA,"402",NA
"Cutting company tax – without the mining tax",NA,NA,NA
"We will deliver a modest cut in company tax – funded from savings in the Budget.",NA,"402",NA
"Scrapping the carbon tax – reducing cost-of-living pressures",NA,NA,NA
"We will immediately introduce legislation to scrap the world’s biggest carbon tax and start reducing cost of living pressures for all Australians caused by rapidly rising electricity and gas prices.",NA,"402",NA
"By repealing the world’s biggest carbon tax we will secure a bigger economy – an extra $1 trillion of lost output cumulatively by 2050 on Labor’s own figures, or the equivalent of shutting down the whole Australian economy for almost a year.",NA,"402",NA
"This will secure more Australian jobs, boost Australia’s exports and make Australia’s businesses more competitive and productive.",NA,"402",NA
"No other energy-rich country has introduced an economy wide carbon tax.",NA,"402",NA
"The world’s biggest carbon tax damages the Australian economy, drives up prices unnecessarily, hits the cost-of-living of families, hurts small businesses and makes all Australian businesses less competitive in both domestic and international markets.",NA,"402",NA
"We will take direct action to reduce carbon emissions.",NA,"501",NA
"Through the Coalition’s Direct Action Plan we will deliver on our commitment to a five per cent reduction in carbon emissions by 2020.",NA,"501",NA
"We will reduce emissions inside Australia, not by paying billions of dollars to foreign carbon traders.",NA,"501",NA
"We will act immediately to abolish the carbon tax.",NA,"402",NA
"On day one of a new government– we will instruct the Department of Prime Minister and Cabinet to draft legislation to repeal the carbon tax.",NA,"402",NA
"The Finance Minister will notify the Clean Energy Finance Corporation that it should suspend its operations and instruct the Department of Finance to draft legislation to permanently shut down the$10 billion fund.",NA,"501",NA
"The Environment Minister will instruct the department to start implementing the Coalition’s Direct Action Plan on climate change and carbon emissions.",NA,"501",NA
"Legislation to repeal the carbon tax will be the first piece of legislation the Coalition will introduce.",NA,"402",NA
"“No country has ever taxed itself into prosperity.”",NA,"402",NA
"Abolishing the mining tax – growing a stronger economy",NA,NA,NA
"We will abolish the mining tax and restore Australia’s international reputation as a safe and reliable place to invest, making Australia more competitive in the global economy.",NA,"402",NA
"• We are determined to attract more investment in Australia’s mining sector, encourage the development of the world’s best mining industry and harness the comparative advantages we have as one of the world’s great mining and energy rich resource countries.",NA,"402",NA
"The mining tax damages Australia’s international reputation overseas, increases our sovereign risk profile, damages investor confidence and deters investment in Australia in favour of other countries.",NA,"402",NA
"The compliance costs of the mining tax push up costs for our mining companies making them less productive and less competitive.",NA,"402",NA
"As a result, Australia is becoming less competitive in the global economy and is heading in the wrong direction.",NA,"402",NA
"The Coalition is determined to deliver a more positive environment for mining.",NA,"402",NA
"By abolishing the mining tax, we will re-energise the entire industry and this will lead to increased mining investment with more mining projects coming on stream.",NA,"402",NA
"This will lead to an eventual boost in Australia’s exports, strengthening the economy and creating more Australian jobs over the medium-longer term.",NA,"402",NA
"The Australian people will benefit significantly from a bigger and stronger mining industry that pays more taxes and invests in more mining projects in Australia, rather than overseas.",NA,"402",NA
"Welcoming investment",NA,NA,NA
"By lowering taxes and reducing Australia’s sovereign risk profile we will declare to the world that Australia is ‘open-for-business’ again and that will lift confidence and investment in our industries.",NA,"402",NA
"7 Boosting productivity and securing greater prosperity",NA,NA,NA
"Securing the future prosperity of our country",NA,NA,NA
"We have an economic plan for Australia – a plan to boost productivity to make Australia more competitive in the global economy and to lift Australians’ standard of living.",NA,"410",NA
"In a competitive world economy, standing still is not an option.",NA,"410",NA
"That’s why we must immediately take the decisions necessary to boost productivity growth and encourage world’s best practice to modernise and transform Australia’s businesses and industries for the 21st Century.",NA,"402",NA
"Our Better Productivity Plan",NA,NA,NA
"Everything in our Better Productivity Plan is designed to make Australia more productive and to make our economy more competitive, because that is the key to building a better future with better prospects for all Australians.",NA,"402",NA
"We will implement our Better Productivity Plan and deliver higher productivity growth by:",NA,"402",NA
"encouraging more people into the workforce to be productive contributors in the nation’s life and to help make Australia a more successful country;",NA,"402",NA
"making public institutions more cost effective and responsive so they too can contribute to making Australia more productive and successful;",NA,"303",NA
"cutting government red and green tape so businesses can become more productive and devote their energies towards business and jobs growth;",NA,"303",NA
"improving competition rules so competitive forces drive productivity growth;",NA,"403",NA
"getting greater value from infrastructure spending so every dollar of spending becomes more productive and the infrastructure contributes to real economic growth; and",NA,"303",NA
"rebalancing workplace relations to reduce union militancy in workplaces",NA,"702",NA
"and to encourage higher pay for better work.",NA,"410",NA
"Productivity Priorities Working Group",NA,NA,NA
"We have established a Productivity Priorities Working Group to consult with business and community stakeholders on the implementation of our Better Productivity Plan – so that it can be implemented from day one and a new government can ‘hit the ground running’.",NA,"410",NA
"Improving productivity – by boosting workforce participation",NA,NA,NA
"We will deliver higher productivity growth by boosting workforce participation.",NA,"701",NA
"We will encourage every Australian to be a productive contributor in the nation’s life and give every Australian the opportunity to get ahead and build a better life for themselves and their families.",NA,"503",NA
"We will provide incentives for employers to employ young people and seniors and take them off welfare.",NA,"706",NA
"We will ensure that people of working age are actually working, preferably for a wage – but if not, for the dole – by reinvigorating the work-for-the-dole programme that was one of the great successes of the previous Coalition Government.",NA,"505",NA
"We will introduce a genuine Paid Parental Leave Scheme and help ensure that childcare is more accessible, affordable and flexible – ensuring all families have more choice",NA,"504",NA
"The Coalition’s Paid Parental Leave scheme is based on a mother’s real wage, rather than a minimum wage.",NA,"504",NA
"According to the Productivity Commission’s report into parental leave, Australia is one of only two countries where parental leave isn’t based on the mother’s actual wage",NA,"504",NA
"We will introduce a new Job Commitment Bonus for long-term employees who get a job and remain off welfare for 12 months and a further bonus if they remain off welfare for 24 months.",NA,"505",NA
"We will introduce a new Jobseeker Relocation Bonus for young job seekers who move to take a job.",NA,"706",NA
"We will provide better structured incentives for employers to employ people over 50 years of age.",NA,"706",NA
"We will make work-for-the-dole mandatory for all long-term unemployed welfare beneficiaries under 50 years of age and tighten work-for-the-dole requirements.",NA,"505",NA
"We will start suspending dole payments for people under 30 years of age in areas where unskilled work is readily available.",NA,"505",NA
"We will adopt a smarter approach to the disability pension that distinguishes between disabilities that are likely to be permanent and those that are not, which will help to prevent older unemployed people being parked on welfare.",NA,"505",NA
"We will support the Australian Employment Covenant and its many supporting employers to create more opportunities for indigenous Australians to get ahead by actively engaging more indigenous Australians in real jobs.",NA,"705",NA
